MotID;Heiti;Stadur;Upphafsdagur;Lokadagur;LidID;EinstID;Lysing;Timastimpill;ByrjaTimi;EndaTimi;MinuturALeik;Stigaregla;Stada;MaxHrinur;TwitterTag
90;Áramót 2005;"Varmá, Mosfellsbæ ";2005-12-31 00:00:00.000;2005-12-31 00:00:00.000;73;1022;Einstaklingskeppni um titilinn blakmaður ársins karla og kvenna;2005-12-19 08:37:12.093;1899-12-30 09:30:00.000;1899-12-30 13:30:00.000;30;"BLÍ       ";F;3;NULL
91;31. Öldungamót BLÍ;Snæfellsbær;2006-04-28 00:00:00.000;2006-04-30 00:00:00.000;1203;1079;;2006-01-09 23:34:06.090;1899-12-30 00:30:00.000;1899-12-30 23:59:00.000;45;"BLÍ       ";G;3;NULL
92;Siglómótið 2006;Siglufirði;2006-02-25 00:00:00.000;2006-02-25 00:00:00.000;147;806;Öldungamót;2006-01-16 13:39:56.750;1899-12-30 10:00:00.000;1899-12-30 18:00:00.000;30;"BLÍ       ";L;3;NULL
93;Hraðmót Fylkis 2006;Fylkishöll;2006-03-25 00:00:00.000;2006-03-25 00:00:00.000;1830;1219;Opið fyrir alla;2006-01-23 23:41:17.793;1899-12-30 08:00:00.000;1899-12-30 20:00:00.000;30;"BLÍ       ";L;2;NULL
94;Krækjumót 2006;Sauðárkróki;2006-04-01 00:00:00.000;2006-04-01 00:00:00.000;1500;567;;2006-01-25 21:13:36.357;1899-12-30 10:00:00.000;1899-12-30 23:00:00.000;45;"BLÍ       ";S;3;NULL
95;Kjörísmót Hamars 2006;;2006-04-08 00:00:00.000;2006-04-08 00:00:00.000;138;586;;2006-01-26 21:15:42.280;1899-12-30 09:00:00.000;1899-12-30 23:00:00.000;40;"BLÍ       ";L;3;NULL
96;Haustmót BLÍ 2006;Neskaupsstaður;2006-09-30 00:00:00.000;2006-09-30 00:00:00.000;1073;1504;;2006-09-11 20:45:40.950;1899-12-30 09:00:00.000;1899-12-30 23:00:00.000;45;"BLÍ       ";S;2;NULL
97;Haustmót KA 2006;KA-heimilið;2006-11-17 00:00:00.000;2006-11-18 00:00:00.000;144;15;;2006-09-11 21:56:13.013;1899-12-30 08:20:00.000;1899-12-30 23:40:00.000;40;"BLÍ       ";L;3;NULL
98;Stjörnumót 2006;Ásgarður Garðabær;2006-10-21 00:00:00.000;2006-10-21 00:00:00.000;1954;1101;;2006-09-28 22:34:52.577;1899-12-30 08:00:00.000;1899-12-30 19:00:00.000;30;"BLÍ       ";G;2;NULL
99;Brosmót Aftureldingar 2007;;2007-01-20 00:00:00.000;2007-01-20 00:00:00.000;1176;1070;;2006-09-28 22:40:41.140;1899-12-30 08:00:00.000;1899-12-30 23:00:00.000;45;"BLÍ       ";F;3;NULL
100;KB Bankamót Snæfells 2006;Stykkishólmur;2006-11-04 00:00:00.000;2006-11-04 00:00:00.000;22;293;opið kvenna og karlamót;2006-10-13 15:28:36.543;1899-12-30 10:00:00.000;1899-12-30 16:00:00.000;30;"BLÍ       ";G;2;NULL
101;Snæfellsbæjarmót 2007;Ólafsvík;2007-02-17 00:00:00.000;2007-02-17 00:00:00.000;108;702;;2006-10-19 21:36:12.293;1899-12-30 09:00:00.000;1899-12-30 23:00:00.000;35;"BLÍ       ";L;2;NULL
102;HK-Trimm 2007;Digranes;2007-01-13 00:00:00.000;2007-01-14 00:00:00.000;110;157;Mót opið öllum blökurum frÁ 3.fl. og upp úr;2006-10-19 21:42:39.513;1899-12-30 08:00:00.000;1899-12-30 20:00:00.000;30;"BLÍ       ";L;2;NULL
103;Eikarmótið 2007;Akureyri;2007-02-09 00:00:00.000;2007-02-10 00:00:00.000;1446;306;;2006-11-10 11:06:31.077;1899-12-30 08:00:00.000;1899-12-30 23:00:00.000;35;"BLÍ       ";G;3;NULL
104;Þorramót Þróttar 2007;Austurberg;2007-01-28 00:00:00.000;2007-01-28 00:00:00.000;1329;1252;Hraðmót;2006-11-15 21:36:56.700;1899-12-30 08:30:00.000;1899-12-30 16:00:00.000;40;"BLÍ       ";L;3;NULL
105;BESTA blakmót Fylkis 2007;Fylkishöll;2007-03-24 00:00:00.000;2007-03-24 00:00:00.000;1830;1219;Opið fyrir alla;2006-11-26 23:15:41.123;1899-12-30 08:00:00.000;1899-12-30 20:00:00.000;30;"BLÍ       ";L;2;NULL
106;Bresamót 2007;Íþróttahúsið Vesturgötu;2007-03-03 00:00:00.000;2007-03-03 00:00:00.000;148;590;Hraðmót;2006-12-11 22:42:36.327;1899-12-30 08:00:00.000;1899-12-30 23:00:00.000;30;"BLÍ       ";L;2;NULL
107;Nýársmót Völsungs 2007;;2007-01-07 00:00:00.000;2007-01-07 00:00:00.000;75;869;;2006-12-11 22:46:03.983;1899-12-30 09:30:00.000;1899-12-30 16:30:00.000;35;"BLÍ       ";L;3;NULL
108;Siglufjörður 2007;Siglufjörður;2007-02-24 00:00:00.000;2007-02-24 00:00:00.000;1867;1839;Öldungamót;2007-01-05 09:22:18.340;1899-12-30 11:00:00.000;1899-12-30 17:00:00.000;45;"Öld2000   ";L;3;NULL
